num_rows num_cols num_procs avg_time total_time
10 10 4 0.0000002680 0.0001834540
10 10 4 0.0000002437 0.0001510020
10 10 4 0.0000002673 0.0003149200
10 10 4 0.0000002340 0.0002584040
10 10 4 0.0000002600 0.0002604180
10 10 5 0.0000002427 0.0002059350
10 10 5 0.0000002880 0.0001422060
10 10 5 0.0000002055 0.0000426190
10 10 5 0.0000002155 0.0001814590
10 10 5 0.0000002300 0.0000592910
10 10 5 0.0000002303 0.0000766740
10 10 5 0.0000001925 0.0001772110
10 10 5 0.0000002310 0.0002084800
10 10 5 0.0000002150 0.0000987250
10 10 5 0.0000002180 0.0001427270
10 10 5 0.0000001730 0.0000790780
10 10 5 0.0000002258 0.0002202220
10 10 5 0.0000002077 0.0001177910
10 10 5 0.0000001925 0.0000775350
10 10 5 0.0000001950 0.0002026100
10 10 5 0.0000002055 0.0001386700
10 10 5 0.0000002303 0.0000662540
10 10 5 0.0000002758 0.0001852070
10 10 5 0.0000002555 0.0000614350
10 10 5 0.0000002032 0.0001528160
10 10 6 0.0000002022 0.0000853290
10 10 6 0.0000001800 0.0002603580
10 10 6 0.0000001982 0.0001930510
10 10 6 0.0000001946 0.0001267380
10 10 6 0.0000001864 0.0000680970
10 10 6 0.0000002500 0.0001235110
10 10 6 0.0000002406 0.0000566260
10 10 6 0.0000001900 0.0001387400
10 10 6 0.0000001882 0.0001800370
10 10 6 0.0000001824 0.0003609360
10 10 6 0.0000001742 0.0002359120
10 10 6 0.0000002044 0.0001009690
10 10 6 0.0000002064 0.0004461560
10 10 6 0.0000001782 0.0003082470
10 10 6 0.0000002184 0.0001998740
10 10 6 0.0000001906 0.0001005080
10 10 6 0.0000003828 0.0001325280
10 10 6 0.0000002000 0.0002036710
10 10 6 0.0000001722 0.0000918720
10 10 6 0.0000002022 0.0000584690
10 10 7 0.0000001683 0.0002795540
10 10 7 0.0000001457 0.0002552980
10 10 7 0.0000002052 0.0001147140
10 10 7 0.0000001868 0.0002186090
10 10 7 0.0000001987 0.0001793960
10 10 7 0.0000002140 0.0000851290
10 10 7 0.0000002172 0.0001932020
10 10 7 0.0000001817 0.0001358540
10 10 7 0.0000001652 0.0001773110
10 10 7 0.0000001987 0.0002754960
10 10 7 0.0000001690 0.0001216880
10 10 7 0.0000001752 0.0003507060
10 10 7 0.0000001987 0.0003888980
10 10 7 0.0000001938 0.0003312500
10 10 7 0.0000001905 0.0001450120
10 10 7 0.0000001822 0.0000681570
10 10 7 0.0000002342 0.0003066540
10 10 7 0.0000002222 0.0002413520
10 10 7 0.0000002942 0.0001860580
10 10 7 0.0000001822 0.0002870480
10 10 8 0.0000001944 0.0001850160
10 10 8 0.0000001760 0.0000768840
10 10 8 0.0000001790 0.0002408210
10 10 8 0.0000001617 0.0000908200
10 10 8 0.0000001904 0.0001527560
10 10 8 0.0000002044 0.0000905600
10 10 8 0.0000001647 0.0003572590
10 10 8 0.0000001543 0.0002943110
10 10 8 0.0000001421 0.0005283290
10 10 8 0.0000001803 0.0004241340
10 10 8 0.0000001443 0.0002010860
10 10 8 0.0000002391 0.0001582560
10 10 8 0.0000001934 0.0002937500
10 10 8 0.0000002006 0.0002311530
10 10 8 0.0000001517 0.0005998730
10 10 8 0.0000001833 0.0002404600
10 10 8 0.0000001931 0.0004006900
10 10 8 0.0000002149 0.0004039060
10 10 8 0.0000002163 0.0001828730
10 10 8 0.0000002133 0.0002234390
50 50 2 0.0000028350 0.0000809510
50 50 2 0.0000053050 0.0001306540
50 50 2 0.0000028560 0.0000929340
50 50 2 0.0000027830 0.0000597320
50 50 2 0.0000035370 0.0000649620
50 50 2 0.0000035570 0.0000635690
50 50 2 0.0000027590 0.0000871130
50 50 2 0.0000038500 0.0001089240
50 50 2 0.0000035390 0.0001022110
50 50 2 0.0000036780 0.0000924530
50 50 2 0.0000035460 0.0000729870
50 50 2 0.0000031380 0.0000860810
50 50 2 0.0000032250 0.0000592710
50 50 2 0.0000036550 0.0000692800
50 50 2 0.0000053800 0.0001158170
50 50 2 0.0000034790 0.0000679570
50 50 2 0.0000027420 0.0000673960
50 50 2 0.0000034970 0.0001012500
50 50 2 0.0000053230 0.0000674670
50 50 2 0.0000038570 0.0001036340
50 50 3 0.0000015070 0.0000919820
50 50 3 0.0000022255 0.0001401320
50 50 3 0.0000017540 0.0000885260
50 50 3 0.0000019275 0.0001364450
50 50 3 0.0000019275 0.0000881250
50 50 3 0.0000022000 0.0000793680
50 50 3 0.0000017975 0.0000869330
50 50 3 0.0000018780 0.0000714830
50 50 3 0.0000019980 0.0000920320
50 50 3 0.0000020665 0.0001676840
50 50 3 0.0000017190 0.0000899990
50 50 3 0.0000015240 0.0000736280
50 50 3 0.0000020725 0.0000820140
50 50 3 0.0000019235 0.0001058080
50 50 3 0.0000018170 0.0000813830
50 50 3 0.0000014670 0.0000773050
50 50 3 0.0000018790 0.0001312560
50 50 3 0.0000017775 0.0000873240
50 50 3 0.0000016775 0.0000515270
50 50 3 0.0000019335 0.0001235310
50 50 4 0.0000011283 0.0000640200
50 50 4 0.0000012833 0.0001209660
50 50 4 0.0000013083 0.0001434590
50 50 4 0.0000015900 0.0001074110
50 50 4 0.0000012550 0.0000826950
50 50 4 0.0000017440 0.0001090440
50 50 4 0.0000013960 0.0000776050
50 50 4 0.0000012993 0.0000996660
50 50 4 0.0000014363 0.0001423560
50 50 4 0.0000013713 0.0000979130
50 50 4 0.0000015670 0.0001490490
50 50 4 0.0000014690 0.0001358340
50 50 4 0.0000012453 0.0001492690
