num_rows1 num_rowscols12 num_cols2 num_procs avg_time total_time
2000 2000 2000 3 11.2051534750 11.4186134310
2000 2000 2000 4 7.9921729393 8.1077287550
2000 2000 2000 4 7.8973817200 8.0053490150
2000 2000 2000 4 8.2340941917 8.3463421350
2000 2000 2000 4 8.2072368233 8.3246092790
2000 2000 2000 4 8.2284645320 8.3429985420
2000 2000 2000 5 6.3208613978 6.4102247100
2000 2000 2000 5 6.5148956063 6.6014340540
2000 2000 2000 5 6.9343590675 7.0265950760
2000 2000 2000 5 6.8180197300 6.9170425460
2000 2000 2000 5 6.3913382393 6.4771735190
2000 2000 2000 6 5.4851899112 5.5598504250
2000 2000 2000 6 5.5002620154 5.5684031630
2000 2000 2000 6 5.8292687070 5.9061115040
2000 2000 2000 6 5.6134205186 5.6884669580
2000 2000 2000 6 5.9311233502 6.0095693120
2000 2000 2000 7 5.1351661333 5.2027118390
2000 2000 2000 7 5.1119941418 5.1807534300
2000 2000 2000 7 5.0992720103 5.1627769700
2000 2000 2000 7 5.0738162232 5.1380129900
2000 2000 2000 7 5.0040690153 5.0708322920
2000 2000 2000 8 4.5788801936 4.6322993100
2000 2000 2000 8 4.4745884980 4.5349207840
2000 2000 2000 8 4.5044598810 4.5611465310
2000 2000 2000 8 4.4516940070 4.5071279280
2000 2000 2000 8 4.4544525843 4.5128366520
3000 3000 3000 3 82.5176427350 83.0772206350
3000 3000 3000 3 82.1376027970 82.6432203200
3000 3000 3000 3 81.8652254365 82.3246146180
3000 3000 3000 3 84.8315716965 85.3530503650
3000 3000 3000 3 82.7782517165 83.2353316030
3000 3000 3000 4 57.9813321023 58.2950516110
3000 3000 3000 4 58.4076993047 58.7411990760
3000 3000 3000 4 58.1622169290 58.4948067250
3000 3000 3000 4 58.1036535163 58.4332103200
3000 3000 3000 4 58.3362005907 58.6947314460
3000 3000 3000 5 44.9471242927 45.1990489370
3000 3000 3000 5 45.4495126540 45.7081341820
3000 3000 3000 5 45.2420513920 45.4941669030
3000 3000 3000 5 45.5245406278 45.7782774860
3000 3000 3000 5 45.3776122998 45.6387427050
3000 3000 3000 6 38.0542960896 38.2658621880
3000 3000 3000 6 38.2832543408 38.5148172850
3000 3000 3000 6 38.2553443072 38.4791259550
3000 3000 3000 6 38.2059054280 38.4247843800
3000 3000 3000 6 37.9890047398 38.2098671520
3000 3000 3000 7 32.6033869998 32.7847004090
3000 3000 3000 7 33.0525340490 33.2504420080
3000 3000 3000 7 32.9777124868 33.1622839430
3000 3000 3000 7 32.9965057422 33.1928124320
3000 3000 3000 7 32.9933387933 33.1813226350
3000 3000 3000 8 29.3074900783 29.4969663480
3000 3000 3000 8 29.7012582750 29.8822752000
3000 3000 3000 8 29.3852491017 29.5601658920
3000 3000 3000 8 29.2763835864 29.4370866910
3000 3000 3000 8 29.4826840347 29.6612748630
10 10 10 4 0.0000359777 0.0000887870
10 10 10 4 0.0000048020 0.0000310880
5000 5000 5000 24 88.2905889450 88.7489525680
5000 5000 5000 12 128.0240076666 128.4534289510
5000 5000 5000 8 187.9844238649 188.5670026850
