num_rows1 num_rowscols12 num_cols2 num_procs avg_time total_time
2000 2000 2000 7 8.0283498428 8.0968976310
2000 2000 2000 7 8.4089072532 8.4806470540
2000 2000 2000 7 8.5541084068 8.6295058300
2000 2000 2000 7 8.5147293788 8.5858099250
2000 2000 2000 7 8.4281925142 8.5001198910
2000 2000 2000 8 7.3772371171 7.4403005980
2000 2000 2000 8 7.3632865366 7.4276643570
2000 2000 2000 8 7.5986693231 7.6599822550
2000 2000 2000 8 7.5204526313 7.5886428780
2000 2000 2000 8 7.5363449341 7.6038564780
3000 3000 3000 3 93.5221829295 94.0537343090
3000 3000 3000 3 93.7956071685 94.2937646020
3000 3000 3000 3 93.8481261105 94.3421660570
3000 3000 3000 3 94.1266351730 94.6410475580
3000 3000 3000 3 95.2767637310 95.8234429510
3000 3000 3000 4 66.0967912557 66.4415281920
3000 3000 3000 4 66.1873170940 66.5335908970
3000 3000 3000 4 66.0938481710 66.4242666860
3000 3000 3000 4 65.8806461970 66.2286390650
3000 3000 3000 4 66.1633009450 66.5151692140
3000 3000 3000 5 52.0669854943 52.3355319540
3000 3000 3000 5 53.1577062140 53.4653716460
3000 3000 3000 5 53.3307952478 53.6457826600
3000 3000 3000 5 52.7885578787 53.0844663620
3000 3000 3000 5 52.2629923030 52.5526643570
3000 3000 3000 6 43.8788762630 44.1218198510
3000 3000 3000 6 44.0879960538 44.3281819430
3000 3000 3000 6 43.9547944004 44.2074118070
3000 3000 3000 6 44.0883528856 44.3350154120
3000 3000 3000 6 43.8418955076 44.0782989840
3000 3000 3000 7 37.6690352677 37.8807344160
3000 3000 3000 7 37.7740493093 37.9793791320
3000 3000 3000 7 37.8762266093 38.0960298850
3000 3000 3000 7 37.8249316983 38.0393065560
3000 3000 3000 7 37.8848742112 38.0881496680
3000 3000 3000 8 33.6469990050 33.8412884650
3000 3000 3000 8 33.6957030089 33.8868917950
3000 3000 3000 8 33.3396225874 33.5255195890
3000 3000 3000 8 33.6338102056 33.8198178350
3000 3000 3000 8 33.5948402387 33.7851101080
10 10 10 4 0.0000020777 0.0000513360
10 10 10 4 0.0000020873 0.0000256180
10 10 10 4 0.0000022110 0.0000339140
